Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Ireland,1.698583731,2.641471732,3.759706459,5.656960553,8.323037783,12.98066309,20.94155221,31.68871294,50.83669241,100.7294491,161.884587,322.1273156,458.9597223,433.8741564,306.6560091,,4.410504016,7.436233678,1922.758621,1930.194855
Israel,4.807209733,5.462608454,6.880933393,9.100144398,11.82458413,17.26170627,30.95365061,49.95535351,87.0454288,130.4880047,200.2249119,354.4802712,466.6730161,390.1370057,222.9101114,,18.6790876,32.74010093,1988.20494,2020.945041
Italy,11.18116991,15.02507871,23.14106933,38.95376901,59.7305822,94.04254536,136.9830608,199.1385232,350.9132036,573.2633479,1170.902541,2153.973224,3374.090862,3274.917884,1666.234293,,29.61721245,51.31286176,13142.49115,13193.80401
Jamaica,5.172562117,6.811911664,7.482805533,8.841976699,11.85887268,14.19753055,24.12871911,22.95151638,29.26877343,46.83115142,59.38292344,80.92559909,87.0825653,72.82552414,77.99293267,,29.68098559,41.15238862,555.7553642,596.9077528
Japan,34.2952773,53.67135954,83.57396916,147.6425909,251.7200042,415.057622,712.3886416,1517.27872,3571.036582,6073.018178,11594.79411,21120.82254,30116.46817,27040.81731,19886.80517,,137.5682421,225.1005292,122619.3902,122844.4907
Jordan,20.08162564,21.97700249,26.74339279,31.73802017,32.01798859,36.06029167,44.64457003,50.17055715,65.96029705,87.38409255,130.0455968,109.0902651,77.38583069,43.55060345,17.87180747,,458.7365308,527.4742571,794.7219417,1322.196199
Kazakhstan,74.6059429,123.295463,197.9840209,246.9851629,272.8100767,353.7770201,436.3739864,454.5810867,468.4477947,282.4259702,572.7858462,445.9234955,290.4255363,118.7763573,20.92384159,,815.8858147,941.8049708,4360.121601,5301.926572
Kenya,421.6874443,443.3008507,506.9307203,639.6895136,775.3638042,950.4265236,1201.416074,1566.964435,1771.643977,2086.468705,2184.526084,1933.509514,1304.659289,595.3841583,246.2661336,,9129.040546,10630.82612,16628.23722,27259.06334
Kiribati,2.224849492,2.11834883,2.401010308,1.901034283,1.944517432,2.769656258,3.23762058,3.770768437,2.727343764,2.882177803,3.261208751,2.699539962,1.308443864,0.472788423,0.061314366,,11.24866102,15.87256877,33.78062255,49.65319132
Kuwait,8.176589521,12.05249545,14.65548411,15.12394743,14.66336871,21.90625056,24.05595008,30.58821923,37.85129219,57.17120286,83.82814258,131.4598595,157.3858447,87.90224323,44.71740663,,42.07056834,62.06189596,741.5382968,803.6001928
Kyrgyzstan,14.15576955,15.31251232,21.08092184,22.61649399,24.51609326,23.98125333,29.72842835,25.91784811,27.06507682,13.75550583,28.16998312,34.240961,44.91974461,34.13322208,8.250690137,,500.9916932,569.0979706,367.8445043,936.9424749
