Location,Under 5,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,over 25,Total
Australia,29.83080001,1.760522273,1.77728299,1.847675916,3.61663593,5.852092934,9.361011715,13.55781968,20.20871197,29.36515296,36.9340166,51.50663463,74.32249712,110.6563964,170.367153,280.1052185,530.0162266,902.1001391,1002,736.0769826,,3972,4011
Austria,4.984766202,0.464906213,0.388868204,0.783784975,0.941620672,1.433105646,1.956611108,2.410298601,3.798671234,6.944615949,11.67222827,19.07794098,25.22532397,42.54468359,70.75381213,130.9818193,180.9916893,264.6880582,255.0619832,139.3084566,,1157,1164
Azerbaijan,1552,85.28592332,38.49736005,25.50302261,27.95368372,26.39951267,24.42334741,26.21145206,32.73430353,41.7635081,60.34520669,85.29094945,90.79869975,95.39377054,64.62807897,150.0762429,164.8385728,106.2370742,23.79659002,2.929053462,,995.8663625,2726
Bahamas,4.614620468,0.344981081,0.325103584,0.56474995,0.985582892,1.235281479,1.627592879,1.902823028,2.285638479,3.045831409,3.915061463,4.340225423,5.118247355,5.927142046,7.360415443,9.617832322,11.32929056,10.00602216,7.744458485,5.45037084,,80.90623338,87.74127135
Bahrain,2.908223453,0.675515088,0.566931841,0.679372158,0.99418993,1.01032647,1.380306922,2.224036171,2.446985079,2.504247914,2.606586945,4.427102418,5.910168059,5.217699947,6.931367992,11.93009067,11.98214796,8.873686658,2.012612462,0.260207796,,69.71757347,75.54180594
Bangladesh,15048,1344,603.8733402,277.8435934,202.0026495,217.5993642,196.4722357,275.9619769,340.4642858,471.6532954,801.3745133,973.9548646,1570,2062,2604,2867,3784,2660,1015,333.0808924,,20172,37649
Barbados,2.310069565,0.158652104,0.188315399,0.240662306,0.310653343,0.418067733,0.604787464,0.844437248,1.001749482,1.664751127,2.338376403,3.644950095,5.993524657,7.894286789,12.23284306,17.5190311,26.25068354,33.56015181,25.40279796,9.799425278,,149.1698638,152.3782165
Belarus,29.57164388,2.478573185,1.366808867,1.956601854,3.882674813,11.76245981,27.1706516,43.10780818,55.64711312,74.89974944,95.97900194,116.6691569,90.16880721,55.85414141,35.44767802,71.27793531,118.3614895,157.9926156,122.5700462,33.83946217,,1111,1150
Belgium,9.238758113,1.339494346,0.754562172,1.534321353,2.297464085,3.339497267,4.518393239,7.015833558,12.13172137,21.03606209,38.93807773,71.9145496,113.3406813,187.2170854,295.4376607,506.58512,1009,1596,1394,750.7204487,,6011,6026
Belize,12.60738367,0.741582271,0.564593562,1.125881418,1.361645869,1.823800795,2.610459031,2.14258251,2.525911644,2.806809945,3.39077748,4.450094071,4.930292309,5.186020272,6.726325182,8.778565048,12.67290459,13.09399689,9.269084957,5.353287505,,85.76091223,102.161999
Benin,5983,183.5129528,79.94361092,70.13410503,77.61140186,83.78444105,78.51490338,90.30871287,106.9396735,135.9051598,181.6369696,218.2316143,276.9855149,337.3151405,430.6223645,484.3225179,457.7131972,255.0854268,130.4383637,51.11331977,,3319,9713
Bermuda,0.129595838,0.01106804,0.006962224,0.013118083,0.018951617,0.022394609,0.0338581,0.052260779,0.081562325,0.132978276,0.215106381,0.335477459,0.510847961,0.741824353,1.172605799,1.999021395,2.964982451,3.513000338,2.839835791,2.019769905,,16.63552592,16.81522172
Bhutan,59.20939275,1.869822994,0.947608883,0.844682473,0.898886955,0.982823647,0.995036978,1.236237055,1.370792197,1.710076436,2.531884072,3.690995714,6.707402715,9.81812423,14.8653167,17.92971717,19.10015102,13.29776928,5.863063065,2.268356383,,102.3677467,166.1381407
