Location,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 to 89,90 to 94,95 plus,,under 5,under 25,over 25,Total
Iceland,0.124975737,0.143012562,0.204623606,0.290768958,0.380020446,0.674683369,0.99166479,1.476619998,1.959250163,3.074091852,5.081552654,10.15560653,18.5465704,16.43813296,12.81328351,,0.208072084,0.450316192,72.35485754,72.80517373
India,2145.040375,2526.443949,3361.461646,4128.600026,5068.263953,8234.248729,11816.38558,20475.51739,29665.71724,37618.68559,37684.16586,38183.74763,18240.82066,7691.558714,1544.433595,,117277.2689,127112.4082,228385.0909,355497.4991
Indonesia,248.9898859,268.2237132,365.2538913,465.0339701,608.9148484,914.6620631,1276.256884,2174.852645,2738.005747,3582.474956,4079.025113,4321.306304,3214.806097,1284.814451,373.8728741,,8039.946432,8967.290604,25916.49344,34883.78404
Iran (Islamic Republic of),123.8054397,153.8106313,151.1763419,141.8854008,160.3938511,187.5021036,291.803905,444.0103134,474.566043,652.9859976,997.6290606,1397.462469,1299.784776,721.8862987,231.4674925,,607.8857467,971.8498215,7430.170124,8402.019946
Iraq,38.98490055,39.62115558,42.65602435,50.49640277,68.31477994,66.03882252,73.39516592,100.146286,111.8368272,139.7784442,135.6299802,127.4036548,98.40225264,58.89202829,26.5434732,,844.9691068,1074.46014,1178.140198,2252.600338
Ireland,0.839245432,1.283707947,1.972435611,2.803996146,4.302597293,7.135510383,10.90482528,19.80487239,29.39924544,60.28873808,113.4308862,206.2975685,301.4839266,282.2728686,182.2158685,,2.489062651,4.007955912,1224.436292,1228.444248
Israel,2.498815832,2.91042549,3.608067008,4.857257816,6.36277447,10.06734215,17.75544852,32.52712578,54.12147694,81.96952197,142.9999722,234.8849763,304.7917055,246.3854788,133.4490643,,11.99069662,19.38957439,1279.189453,1298.579027
Italy,9.074005065,12.36739343,18.94325997,32.13882224,48.99207103,77.81115959,115.998936,171.9537971,301.5675386,477.8319314,962.5221919,1602.658682,2441.699297,2273.148526,1130.731749,,23.12557685,40.65645971,9677.43936,9718.09582
Jamaica,2.144734024,3.136698133,3.326207815,3.905236373,5.303081691,6.625557046,11.48430665,11.4167522,14.43802108,24.02502111,36.48915944,45.64788084,52.08806168,42.53808568,43.03314377,,13.9042204,19.2979679,305.6019475,324.8999154
Japan,29.64554106,46.96346818,73.30573953,129.5351922,221.7396735,363.5910969,636.0373125,1361.283149,3161.881863,5238.450833,9527.285354,15535.35911,20283.43492,16118.78181,11006.75697,,113.704216,189.562462,83734.05204,83923.6145
Jordan,10.4928304,11.66022801,13.56167884,15.49521942,16.83833521,18.362508,24.13507226,26.08870743,35.15761366,48.62422483,76.5535443,63.82612206,45.90835429,23.7136329,9.100696258,,240.1899423,275.1425016,439.5187679,714.6612695
Kazakhstan,45.92824509,76.07317935,126.1692544,156.426323,176.0433706,225.526722,277.8339196,297.0317091,304.4467933,189.4727596,428.8128694,301.809433,201.1250678,75.35205218,12.87037289,,454.0900097,526.4499514,2894.922071,3421.372022
Kenya,246.9473974,259.9784893,300.8841948,366.9785728,452.3890912,553.1331415,713.586379,933.8412623,1104.6589,1358.310478,1475.782522,1304.340791,825.7452566,355.2857776,140.4701292,,5357.986386,6197.730392,10392.33238,16590.06277
Kiribati,1.073167744,1.009791151,1.14899721,0.863972719,0.903728051,1.213039256,1.600670243,1.812173782,1.343605766,1.464311814,1.613293128,1.38425398,0.682812203,0.254194114,0.031094542,,5.022095318,7.3080088,16.3991057,23.7071145
Kuwait,4.01481495,6.28552747,7.489592976,7.362237351,7.342550883,10.90079166,12.47127552,16.46082193,21.44006457,32.40404703,53.81221632,79.39645893,93.85965003,48.61599604,24.59230754,,26.00097556,36.04565416,426.4483532,462.4940074
Kyrgyzstan,7.872207555,8.745079929,12.84543996,13.03287376,14.11050275,14.9838786,19.78019526,17.91480625,15.96875709,7.954731124,19.35434452,21.62844412,31.57652287,21.06148576,4.99015353,,352.2593283,394.0554274,231.8194231,625.8748505
Lao People's Democratic Republic,20.95269577,21.07710875,23.97968976,27.61838165,33.48191558,47.84803456,62.40617577,84.70269708,100.782723,135.2543139,173.1921074,185.423171,136.1186415,68.33964793,23.93265429,,1211.976817,1297.996579,1145.109958,2443.106537
Latvia,2.077504164,3.826178753,6.078360713,10.7605259,13.9392462,16.96051708,21.84844561,22.05804342,19.26365696,16.86836721,29.53557507,27.09841782,31.93983139,21.59767782,10.15550203,,4.206194501,6.101178915,254.0078502,260.1090291
Lebanon,4.498419296,4.552087734,4.690997972,4.877212028,5.864926461,7.788074268,11.55644523,23.64968187,39.846389,70.83338356,98.42207519,120.0399644,110.7586502,53.47784327,15.27126124,,23.41790429,33.75044829,576.1274117,609.87786
Lesotho,26.88645276,33.48091207,44.77637895,51.15398329,59.09153197,69.81519885,80.6389241,106.4168874,107.4049199,88.47213108,77.82125182,70.37567596,42.23750348,16.94899384,4.813207134,,382.3890057,454.5764153,880.3339526,1334.910368
Liberia,19.02725368,20.1743732,22.45330199,31.38411188,33.67360222,42.64563273,47.56395106,61.7478872,74.91708816,88.28614097,120.2486354,126.4712828,74.18807722,39.04839565,15.42523383,,400.2297123,482.1931662,817.2549679,1299.448134
Libya,7.907787449,11.97960942,15.39445627,18.38969464,20.37191324,19.0889381,22.57704193,30.07092983,35.37523636,47.01441366,61.03058501,62.88779463,66.25155188,36.78040926,22.27763432,,35.25538687,56.06406464,477.397996,533.4620606
Lithuania,2.662619629,5.143314776,7.664036878,13.99393413,21.09954707,25.62749537,37.7647545,35.88160128,37.241035,31.33347073,51.06971032,56.01381086,56.53335898,37.31382048,9.986733682,,7.14356617,10.70779859,429.3292437,440.0370423
Luxembourg,0.148649545,0.207572032,0.280843872,0.340230552,0.511672951,0.795596531,1.071711668,1.675391786,2.716124646,4.656743859,9.473461468,17.00459156,25.4628407,19.81544742,10.68322176,,0.233134565,0.469392036,94.84410035,95.31349239
Madagascar,187.5043892,168.444224,179.7160022,222.4783417,238.9779166,295.1983203,360.8304198,445.4488801,440.1877964,474.645607,485.5539253,446.7534013,283.281022,126.601615,41.69831495,,4338.840452,5111.2839,4397.320176,9508.604076
Malawi,77.50408948,75.07606696,84.03758835,96.92876045,118.7895142,135.5944152,179.9630404,275.7786388,367.4512954,440.5716024,463.4405025,385.2602392,248.8461958,121.5214434,49.48745081,,3291.133505,3648.391602,3120.250843,6768.642445
Malaysia,108.6869691,173.053132,204.1788529,234.3647328,321.0286762,440.9418463,642.9609773,968.4816819,1173.133499,1673.896611,1714.238534,1843.055005,1270.223955,830.7516505,204.5514738,,155.1158002,354.9719574,11803.5476,12158.51956
Maldives,0.293886286,0.419765811,0.421145823,0.377829754,0.459039867,0.562010895,0.68208186,0.964311858,1.043056676,1.608977166,2.782964571,4.218002596,3.444491938,1.557939648,0.536032937,,3.036148362,3.540614578,19.37153769,22.91215227
